Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1934,9,1,975,65,,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1935,9,5,892,160,"""Labor Day""",0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,11,2,965,85,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,6,1,987,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1936,7,2,964,90,-----,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,9,1,964,75,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1938,8,1,995,65,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,9,3,941,105,"""Great New England""",0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0
1939,8,1,985,65,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,8,2,972,85,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
1940,8,2,972,85,-----,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1941,9,3,942,110,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1941,10,2,980,85,-----,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,8,1,992,65,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1942,8,3,950,100,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1943,7,2,967,90,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1944,8,1,985,70,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1944,9,2,954,90,"""Great Atlantic""",0,1,0,0,0,0,1,0,0,0,2,0,1,2,0,2,0,0,2
1944,10,3,949,105,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,6,1,985,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,8,3,963,100,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1945,9,4,949,115,-----,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,10,1,980,75,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,8,1,984,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1947,9,4,943,115,-----,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
1947,10,2,965,90,-----,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1948,9,1,983,70,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,9,4,940,115,-----,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,10,2,963,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,8,1,977,70,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1949,8,4,954,115,-----,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,10,2,965,95,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1950,8,1,979,75,Baker,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,9,3,960,105,Easy,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,10,4,955,115,King,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,8,1,985,NA,Able,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1953,8,1,987,NA,Barbara,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1953,9,1,NA,NA,Carol,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1953,9,1,985,NA,Florence,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,8,3,960,NA,Carol,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0
1954,9,3,954,NA,Edna,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1954,10,4,938,NA,Hazel,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0
1955,8,3,962,NA,Connie,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
1955,8,1,987,NA,Diane,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1955,9,3,960,NA,Ione,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1956,9,2,975,NA,Flossy,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,6,4,945,NA,Audrey,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
1958,9,3,946,NA,Helene,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1959,7,1,993,NA,Cindy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1959,7,1,984,NA,Debra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1959,9,3,950,NA,Gracie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1960,9,4,930,NA,Donna,0,2,0,4,0,0,1,0,1,0,3,1,0,3,0,2,0,0,0
1960,9,1,981,NA,Ethel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1961,9,4,931,NA,Carla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1963,9,1,996,NA,Cindy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1964,8,2,968,NA,Cleo,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,9,2,966,NA,Dora,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,10,3,950,NA,Hilda,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,10,2,974,NA,Isbell,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,9,3,948,NA,Betsy,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,6,2,982,NA,Alma,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
